Order_ID,Customer_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Ship_Date,Promised_Delivery_Date,Actual_Delivery_Date,Ship_Mode,Carrier,Order_Quantity,Shipped_Quantity,Unit_Price,Unit_Cost,Revenue,COGS,Shipping_Cost,Processing_Days,Transit_Days,Delay_Days,Delivery_Status,Fill_Rate_Pct
ORD100000,CUST00352,PRD1065,SUP001,WH14,2023-09-08,2023-09-10,2023-09-10,2023-09-11,Same-day,Dunzo Express,56,56,272.84,181.03,15279.04,10137.68,309.66,2,1,1,Slightly Delayed,100
ORD100001,CUST00336,PRD1019,SUP003,WH14,2024-07-20,2024-07-26,2024-07-27,2024-07-30,Air,FedEx,6,6,12.85,8.14,77.1,48.84,18.93,6,4,3,Slightly Delayed,100
ORD100002,CUST00656,PRD1040,SUP015,WH17,2024-01-17,2024-01-19,2024-01-31,2024-01-27,Rail,DB Cargo,2,2,35.11,25.69,70.22,51.38,2.38,2,8,0,On-Time,100
ORD100003,CUST00425,PRD1066,SUP005,WH03,2024-04-21,2024-04-24,2024-04-23,2024-04-25,Same-day,Dunzo Express,6,6,439.6,250.67,2637.6,1504.02,24.51,3,1,2,Slightly Delayed,100
ORD100004,CUST00246,PRD1058,SUP013,WH08,2024-07-31,2024-08-03,2024-08-02,2024-08-04,Same-day,Local Courier,8,8,89.49,63.87,715.92,510.96,45.48,3,1,2,Slightly Delayed,100
ORD100005,CUST00408,PRD1063,SUP029,WH02,2024-07-13,2024-07-17,2024-07-20,2024-07-20,Air,FedEx,1,0,41.6,23.72,41.6,23.72,3.35,4,3,0,On-Time,66
ORD100006,CUST00825,PRD1003,SUP011,WH16,2024-12-11,2024-12-12,2024-12-25,2024-12-19,Rail,Indian Railways Freight,1,1,283.88,197.22,283.88,197.22,1.06,1,7,0,On-Time,100
ORD100007,CUST00747,PRD1048,SUP009,WH05,2023-04-17,2023-04-23,2023-04-24,2023-04-25,Air,UPS Air,171,171,53.73,32.87,9187.83,5620.77,605.38,6,2,1,Slightly Delayed,100
ORD100008,CUST00234,PRD1007,SUP030,WH02,2023-10-14,2023-10-15,2023-10-28,2023-10-21,Road,BlueDart,2,1,1423.29,1015.08,2846.58,2030.16,3.07,1,6,0,On-Time,61.5
ORD100009,CUST00413,PRD1066,SUP030,WH01,2023-03-28,2023-04-01,2023-04-04,2023-04-03,Air,UPS Air,3,3,439.6,250.67,1318.8,752.01,11.37,4,2,0,On-Time,100
ORD100010,CUST00391,PRD1050,SUP027,WH04,2024-03-21,2024-03-31,2024-03-28,2024-04-02,Air,FedEx,199,199,117.58,68.13,23398.42,13557.87,579.55,10,2,5,Delayed,100
ORD100011,CUST00357,PRD1040,SUP015,WH07,2023-12-01,2023-12-04,2023-12-15,2023-12-11,Road,XPO Logistics,44,44,35.11,25.69,1544.84,1130.36,68.56,3,7,0,On-Time,100
ORD100012,CUST00394,PRD1025,SUP020,WH04,2023-04-22,2023-04-30,2023-05-06,2023-05-08,Road,BlueDart,31,31,853.69,490.02,26464.39,15190.62,54.41,8,8,2,Slightly Delayed,100
ORD100013,CUST00267,PRD1040,SUP015,WH16,2023-08-01,2023-08-07,2023-08-15,2023-08-18,Rail,Indian Railways Freight,69,69,35.11,25.69,2422.59,1772.61,81.32,6,11,3,Slightly Delayed,100
ORD100014,CUST00244,PRD1015,SUP017,WH09,2023-11-08,2023-11-09,2023-11-22,2023-11-20,Rail,DB Cargo,3,3,33.19,21.11,99.57,63.33,3.87,1,11,0,On-Time,100
ORD100015,CUST00358,PRD1091,SUP021,WH06,2024-06-09,2024-06-10,2024-06-16,2024-06-13,Air,UPS Air,5,5,75.2,42.13,376,210.65,18.92,1,3,0,On-Time,100
