Product_ID,Warehouse_ID,Snapshot_Date,Stock_On_Hand,Reorder_Level,Safety_Stock,Units_Received,Units_Shipped,Days_Of_Supply,Stockout_Flag,Inventory_Value,Reorder_Status,Stock_Health,COGS_for_Product,Inventory_Turnover,Days_Inventory_On_Hand
PRD1000,WH06,2024-01-31,1331,306,157,202,315,126.8,0,977326.68,OK,Healthy,7929489.72,5957.54299,0.061266868
PRD1000,WH06,2024-02-29,1473,306,157,436,313,141.2,0,1081594.44,OK,Healthy,7929489.72,5383.224521,0.067803228
PRD1000,WH06,2024-03-31,1607,306,157,277,476,101.3,0,1179987.96,OK,Healthy,7929489.72,4934.343323,0.073971343
PRD1000,WH06,2024-04-30,987,306,157,362,306,96.8,0,724734.36,OK,Healthy,7929489.72,8033.930821,0.045432306
PRD1000,WH06,2024-05-31,1306,306,157,111,178,220.1,0,958969.68,OK,Healthy,7929489.72,6071.584778,0.0601161
PRD1000,WH06,2024-06-30,1043,306,157,116,342,91.5,0,765854.04,OK,Healthy,7929489.72,7602.57883,0.048010025
PRD1000,WH06,2024-07-31,1109,306,157,75,194,171.5,0,814316.52,OK,Healthy,7929489.72,7150.125987,0.051048052
PRD1000,WH06,2024-08-31,1153,306,157,88,125,276.7,0,846624.84,OK,Healthy,7929489.72,6877.267754,0.053073403
PRD1000,WH06,2024-09-30,1177,306,157,104,431,81.9,0,864247.56,OK,Healthy,7929489.72,6737.034596,0.054178139
PRD1000,WH06,2024-10-31,1284,306,157,297,367,105,0,942815.52,OK,Healthy,7929489.72,6175.615047,0.059103425
PRD1000,WH06,2024-11-30,1352,306,157,526,395,102.7,0,992746.56,OK,Healthy,7929489.72,5865.007189,0.062233513
PRD1000,WH06,2024-12-31,1143,306,157,450,355,96.6,0,839282.04,OK,Healthy,7929489.72,6937.436325,0.052613096
PRD1000,WH13,2024-01-31,565,117,50,190,146,116.1,0,414868.2,OK,Healthy,7929489.72,14034.49508,0.026007348
PRD1000,WH13,2024-02-29,603,117,50,84,85,212.8,0,442770.84,OK,Healthy,7929489.72,13150.06587,0.027756515
PRD1000,WH13,2024-03-31,561,117,50,28,67,251.2,0,411931.08,OK,Healthy,7929489.72,14134.56278,0.025823225
PRD1000,WH13,2024-04-30,583,117,50,97,46,380.2,0,428085.24,OK,Healthy,7929489.72,13601.18305,0.026835901
PRD1000,WH13,2024-05-31,456,117,50,63,4,456,0,334831.68,OK,Healthy,7929489.72,17389.23184,0.020990001
PRD1000,WH13,2024-06-30,469,117,50,187,29,469,0,344377.32,OK,Healthy,7929489.72,16907.22755,0.021588401
PRD1000,WH13,2024-07-31,321,117,50,198,161,59.8,0,235703.88,OK,Healthy,7929489.72,24702.46019,0.014775856
PRD1000,WH13,2024-08-31,533,117,50,55,126,126.9,0,391371.24,OK,Healthy,7929489.72,14877.09141,0.024534366
PRD1000,WH13,2024-09-30,370,117,50,29,141,78.7,0,271683.6,OK,Healthy,7929489.72,21431.0533,0.017031361
PRD1000,WH13,2024-10-31,521,117,50,152,49,319,0,382559.88,OK,Healthy,7929489.72,15219.74994,0.023981997
PRD1000,WH13,2024-11-30,395,117,50,37,119,99.6,0,290040.6,OK,Healthy,7929489.72,20074.65752,0.018182128
PRD1000,WH13,2024-12-31,458,117,50,101,108,127.2,0,336300.24,OK,Healthy,7929489.72,17313.29633,0.021082063
PRD1000,WH18,2024-01-31,1095,504,246,136,421,78,0,804036.6,OK,Healthy,7929489.72,7241.543123,0.050403622
PRD1000,WH18,2024-02-29,2154,504,246,515,368,175.6,0,1581639.12,OK,Healthy,7929489.72,3681.28585,0.099150138
PRD1000,WH18,2024-03-31,1804,504,246,253,14,1804,0,1324641.12,OK,Healthy,7929489.72,4395.504279,0.083039391
PRD1000,WH18,2024-04-30,1777,504,246,455,302,176.5,0,1304815.56,OK,Healthy,7929489.72,4462.290219,0.081796562
PRD1000,WH18,2024-05-31,1154,504,246,315,47,736.6,0,847359.12,OK,Healthy,7929489.72,6871.30825,0.053119433
PRD1000,WH18,2024-06-30,2049,504,246,97,280,219.5,0,1504539.72,OK,Healthy,7929489.72,3869.931537,0.094316914
PRD1000,WH18,2024-07-31,1730,504,246,194,410,126.6,0,1270304.4,OK,Healthy,7929489.72,4583.520069,0.079633119
PRD1000,WH18,2024-08-31,1056,504,246,433,259,122.3,0,775399.68,OK,Healthy,7929489.72,7508.986477,0.048608424
PRD1000,WH18,2024-09-30,1925,504,246,261,439,131.5,0,1413489,OK,Healthy,7929489.72,4119.215439,0.088609107
